Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Turkiye,TUR,GNI (current US$),NY.GNP.MKTP.CD,710897360514.225
Turkiye,TUR,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Turkiye,TUR,Consumer price index (2010 = 100),FP.CPI.TOTL,263.223561285501
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.2789574462574
Turkiye,TUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Turkiye,TUR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,32.2228040644612
Turkiye,TUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.7331269769847
Turkiye,TUR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Turkiye,TUR,"Labor force, total",SL.TLF.TOTL.IN,31643710
Turkiye,TUR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.1099996566772
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2704609160088.15
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-11.0308584551979
United Kingdom,GBR,GNI (current US$),NY.GNP.MKTP.CD,2643852716859.46
United Kingdom,GBR,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-12.9980583766661
United Kingdom,GBR,Consumer price index (2010 = 100),FP.CPI.TOTL,120.806362123174
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.98948670377243
United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
United Kingdom,GBR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,28.878969128657
United Kingdom,GBR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.2371897151774
United Kingdom,GBR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
United Kingdom,GBR,"Labor force, total",SL.TLF.TOTL.IN,34633193
United Kingdom,GBR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,21060473613000
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.76780251140578
United States,USA,GNI (current US$),NY.GNP.MKTP.CD,21472360000000
United States,USA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-3.11994444064297
United States,USA,Consumer price index (2010 = 100),FP.CPI.TOTL,118.690501577198
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.23358439630637
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.1816361351266
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.2021257426695
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
United States,USA,"Labor force, total",SL.TLF.TOTL.IN,164458652
United States,USA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.05000019073486
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20143442150.971
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.35110067344623
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,20332384124.9184
Afghanistan,AFG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,9105733
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.710000038147
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15131866270.5936
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.48163037314293
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,14881636667.2803
Albania,ALB,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,120.978911881374
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.62088661717004
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.2477679402658
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.7039815429045
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1369908
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.6899995803833
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,145009181490.62
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.10000000018678
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,142064920395.53
Algeria,DZA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-4.62244716482398
Algeria,DZA,Consumer price index (2010 = 100),FP.CPI.TOTL,155.017250238567
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.41513094083414
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,27.9953002099675
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.3157889010977
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,12016029
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,435225238000.437
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.45396846689127
Austria,AUT,GNI (current US$),NY.GNP.MKTP.CD,439084398837.667
Austria,AUT,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-5.36017333632788
Austria,AUT,Consumer price index (2010 = 100),FP.CPI.TOTL,119.689435836364
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.38191063351859
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,48.6108163058355
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.6128149281413
Austria,AUT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,14.7
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN,4638300
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.19999980926514
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373902134700.41
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.44802145482763
Bangladesh,BGD,GNI (current US$),NY.GNP.MKTP.CD,389378636013.591
Bangladesh,BGD,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,3.52429606518929
Bangladesh,BGD,Consumer price index (2010 = 100),FP.CPI.TOTL,189.905534708779
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.6910747474621
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bangladesh,BGD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,15.8286588153584
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.442787732227
Bangladesh,BGD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Bangladesh,BGD,"Labor force, total",SL.TLF.TOTL.IN,69331239
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4671800000
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-13.3110215258234
Barbados,BRB,GNI (current US$),NY.GNP.MKTP.CD,4604300000
Barbados,BRB,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Barbados,BRB,Consumer price index (2010 = 100),FP.CPI.TOTL,..
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Barbados,BRB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,36.7963097735348
